interaction_id,drug1,drug2,interaction,severity
1,Aspirin,Ibuprofen,High bleeding risk,High
2,Metformin,Alcohol,Lactic acidosis risk,High
3,Salbutamol,Propranolol,Reduced bronchodilation effect,Medium
4,Paracetamol,Alcohol,Liver toxicity risk,High
5,Atorvastatin,Clarithromycin,Muscle damage risk,High
6,Losartan,Ibuprofen,Reduced kidney function,Medium
7,Amlodipine,Salbutamol,increased blood pressure,Medium
8,Loratadine,Insulin,temporary fatigue,Low
9,Naproxen,Budesonide,reduced drug effectiveness,Medium
10,Losartan,Budesonide,temporary fatigue,Low
11,Cetirizine,Atorvastatin,minor stomach discomfort,Low
12,Paracetamol,Insulin,temporary fatigue,Low
13,Paracetamol,Budesonide,reduced drug effectiveness,Medium
14,Clopidogrel,Salbutamol,reduced drug effectiveness,Medium
15,Lisinopril,Salbutamol,heart rhythm complications,High
16,Losartan,Budesonide,reduced drug effectiveness,Medium
17,Lisinopril,Furosemide,severe bleeding risk,High
18,Naproxen,Budesonide,temporary fatigue,Low
19,Sumatriptan,Insulin,minor stomach discomfort,Low
20,Paracetamol,Salbutamol,mild dizziness,Low
21,Naproxen,Loratadine,reduced drug effectiveness,Medium
22,Naproxen,Salbutamol,moderate kidney stress,Medium
23,Amlodipine,Clopidogrel,increased blood pressure,Medium
24,Paracetamol,Sumatriptan,increased blood pressure,Medium
25,Paracetamol,Losartan,reduced drug effectiveness,Medium
26,Amlodipine,Naproxen,mild dizziness,Low
27,Lisinopril,Losartan,reduced drug effectiveness,Medium
28,Furosemide,Loratadine,minor stomach discomfort,Low
29,Amlodipine,Naproxen,moderate kidney stress,Medium
30,Naproxen,Loratadine,increased blood pressure,Medium
31,Sumatriptan,Ibuprofen,heart rhythm complications,High
32,Naproxen,Atorvastatin,increased blood pressure,Medium
33,Lisinopril,Atorvastatin,moderate kidney stress,Medium
34,Budesonide,Ibuprofen,mild dizziness,Low
35,Cetirizine,Loratadine,mild dizziness,Low
36,Lisinopril,Budesonide,reduced drug effectiveness,Medium
37,Cetirizine,Metformin,reduced drug effectiveness,Medium
38,Cetirizine,Clopidogrel,reduced drug effectiveness,Medium
39,Clopidogrel,Salbutamol,moderate kidney stress,Medium
40,Sumatriptan,Budesonide,mild dizziness,Low
41,Cetirizine,Metformin,increased blood pressure,Medium
42,Amlodipine,Lisinopril,moderate kidney stress,Medium
43,Furosemide,Sumatriptan,moderate kidney stress,Medium
44,Clopidogrel,Loratadine,severe bleeding risk,High
45,Atorvastatin,Loratadine,reduced drug effectiveness,Medium
46,Loratadine,Salbutamol,increased blood pressure,Medium
47,Furosemide,Salbutamol,moderate kidney stress,Medium
48,Metformin,Atorvastatin,reduced drug effectiveness,Medium
49,Clopidogrel,Insulin,severe bleeding risk,High
50,Cetirizine,Loratadine,respiratory complications,High
51,Losartan,Salbutamol,minor stomach discomfort,Low
52,Furosemide,Salbutamol,respiratory complications,High
53,Paracetamol,Salbutamol,increased blood pressure,Medium
54,Amlodipine,Ibuprofen,minor stomach discomfort,Low
55,Losartan,Ibuprofen,severe bleeding risk,High
56,Losartan,Atorvastatin,minor stomach discomfort,Low
57,Furosemide,Losartan,mild dizziness,Low
58,Atorvastatin,Insulin,reduced drug effectiveness,Medium
59,Amlodipine,Budesonide,temporary fatigue,Low
60,Amlodipine,Sumatriptan,moderate kidney stress,Medium
61,Clopidogrel,Budesonide,reduced drug effectiveness,Medium
62,Naproxen,Metformin,minor stomach discomfort,Low
63,Naproxen,Clopidogrel,moderate kidney stress,Medium
64,Cetirizine,Furosemide,moderate kidney stress,Medium
65,Amlodipine,Metformin,increased blood pressure,Medium
66,Metformin,Furosemide,mild dizziness,Low
67,Loratadine,Ibuprofen,minor stomach discomfort,Low
68,Furosemide,Salbutamol,temporary fatigue,Low
69,Lisinopril,Furosemide,reduced drug effectiveness,Medium
70,Clopidogrel,Loratadine,moderate kidney stress,Medium
71,Cetirizine,Loratadine,temporary fatigue,Low
72,Lisinopril,Naproxen,minor stomach discomfort,Low
73,Sumatriptan,Salbutamol,temporary fatigue,Low
74,Cetirizine,Naproxen,mild dizziness,Low
75,Metformin,Salbutamol,temporary fatigue,Low
76,Amlodipine,Cetirizine,temporary fatigue,Low
77,Metformin,Paracetamol,moderate kidney stress,Medium
78,Naproxen,Budesonide,increased blood pressure,Medium
79,Naproxen,Paracetamol,moderate kidney stress,Medium
80,Sumatriptan,Salbutamol,moderate kidney stress,Medium
81,Naproxen,Atorvastatin,minor stomach discomfort,Low
82,Paracetamol,Ibuprofen,temporary fatigue,Low
83,Clopidogrel,Insulin,minor stomach discomfort,Low
84,Amlodipine,Cetirizine,increased blood pressure,Medium
85,Naproxen,Metformin,mild dizziness,Low
86,Lisinopril,Salbutamol,temporary fatigue,Low
87,Atorvastatin,Sumatriptan,increased blood pressure,Medium
88,Paracetamol,Salbutamol,minor stomach discomfort,Low
89,Clopidogrel,Atorvastatin,moderate kidney stress,Medium
90,Insulin,Salbutamol,temporary fatigue,Low
91,Sumatriptan,Ibuprofen,respiratory complications,High
92,Insulin,Budesonide,mild dizziness,Low
93,Naproxen,Losartan,reduced drug effectiveness,Medium
94,Paracetamol,Insulin,minor stomach discomfort,Low
95,Clopidogrel,Salbutamol,temporary fatigue,Low
96,Metformin,Atorvastatin,respiratory complications,High
97,Loratadine,Budesonide,mild dizziness,Low
98,Clopidogrel,Losartan,increased blood pressure,Medium
99,Cetirizine,Metformin,temporary fatigue,Low
100,Lisinopril,Sumatriptan,moderate kidney stress,Medium
101,Sumatriptan,Salbutamol,temporary fatigue,Low
102,Furosemide,Salbutamol,increased blood pressure,Medium
103,Paracetamol,Atorvastatin,minor stomach discomfort,Low
104,Amlodipine,Insulin,moderate kidney stress,Medium
105,Sumatriptan,Insulin,severe bleeding risk,High
106,Metformin,Furosemide,mild dizziness,Low
107,Cetirizine,Naproxen,temporary fatigue,Low
108,Clopidogrel,Insulin,moderate kidney stress,Medium
109,Loratadine,Ibuprofen,reduced drug effectiveness,Medium
110,Atorvastatin,Insulin,increased blood pressure,Medium
111,Clopidogrel,Insulin,mild dizziness,Low
112,Clopidogrel,Loratadine,temporary fatigue,Low
113,Paracetamol,Furosemide,minor stomach discomfort,Low
114,Cetirizine,Insulin,moderate kidney stress,Medium
115,Clopidogrel,Paracetamol,severe bleeding risk,High
116,Losartan,Atorvastatin,respiratory complications,High
117,Lisinopril,Loratadine,moderate kidney stress,Medium
118,Paracetamol,Sumatriptan,increased blood pressure,Medium
119,Cetirizine,Paracetamol,moderate kidney stress,Medium
120,Cetirizine,Losartan,increased blood pressure,Medium
121,Naproxen,Clopidogrel,moderate kidney stress,Medium
122,Cetirizine,Sumatriptan,heart rhythm complications,High
123,Cetirizine,Furosemide,severe bleeding risk,High
124,Naproxen,Metformin,temporary fatigue,Low
125,Clopidogrel,Salbutamol,minor stomach discomfort,Low
126,Amlodipine,Salbutamol,severe bleeding risk,High
127,Clopidogrel,Budesonide,temporary fatigue,Low
128,Clopidogrel,Loratadine,increased blood pressure,Medium
129,Amlodipine,Atorvastatin,moderate kidney stress,Medium
130,Cetirizine,Insulin,minor stomach discomfort,Low
131,Naproxen,Metformin,moderate kidney stress,Medium
132,Sumatriptan,Loratadine,mild dizziness,Low
133,Losartan,Ibuprofen,minor stomach discomfort,Low
134,Clopidogrel,Salbutamol,temporary fatigue,Low
135,Clopidogrel,Loratadine,minor stomach discomfort,Low
136,Budesonide,Salbutamol,moderate kidney stress,Medium
137,Furosemide,Sumatriptan,mild dizziness,Low
138,Lisinopril,Loratadine,increased blood pressure,Medium
139,Sumatriptan,Salbutamol,temporary fatigue,Low
140,Lisinopril,Furosemide,temporary fatigue,Low
141,Clopidogrel,Loratadine,reduced drug effectiveness,Medium
142,Atorvastatin,Sumatriptan,increased blood pressure,Medium
143,Ibuprofen,Salbutamol,minor stomach discomfort,Low
144,Naproxen,Atorvastatin,minor stomach discomfort,Low
145,Losartan,Sumatriptan,temporary fatigue,Low
146,Cetirizine,Ibuprofen,reduced drug effectiveness,Medium
147,Metformin,Budesonide,minor stomach discomfort,Low
148,Amlodipine,Lisinopril,reduced drug effectiveness,Medium
149,Amlodipine,Losartan,heart rhythm complications,High
150,Paracetamol,Ibuprofen,heart rhythm complications,High
151,Losartan,Salbutamol,temporary fatigue,Low
152,Lisinopril,Insulin,temporary fatigue,Low
153,Cetirizine,Paracetamol,minor stomach discomfort,Low
154,Amlodipine,Clopidogrel,minor stomach discomfort,Low
155,Cetirizine,Salbutamol,moderate kidney stress,Medium
156,Lisinopril,Insulin,moderate kidney stress,Medium
157,Clopidogrel,Salbutamol,reduced drug effectiveness,Medium
158,Amlodipine,Ibuprofen,mild dizziness,Low
159,Cetirizine,Salbutamol,moderate kidney stress,Medium
160,Paracetamol,Furosemide,increased blood pressure,Medium
161,Atorvastatin,Sumatriptan,moderate kidney stress,Medium
162,Insulin,Salbutamol,increased blood pressure,Medium
163,Cetirizine,Atorvastatin,respiratory complications,High
164,Naproxen,Sumatriptan,mild dizziness,Low
165,Paracetamol,Budesonide,temporary fatigue,Low
166,Naproxen,Atorvastatin,reduced drug effectiveness,Medium
167,Amlodipine,Salbutamol,moderate kidney stress,Medium
168,Amlodipine,Sumatriptan,temporary fatigue,Low
169,Naproxen,Ibuprofen,severe bleeding risk,High
170,Paracetamol,Furosemide,mild dizziness,Low
171,Metformin,Insulin,mild dizziness,Low
172,Cetirizine,Salbutamol,moderate kidney stress,Medium
173,Cetirizine,Furosemide,reduced drug effectiveness,Medium
174,Furosemide,Insulin,mild dizziness,Low
175,Loratadine,Budesonide,moderate kidney stress,Medium
